###############################################
# file created at: Wed Sep  1 23:37:36 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# height = 0.0263
# cubelen = 0.0005
# xy num = 616
# z num = 53
# cirnum*heinum = 32648

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.2
# gap = 0.4
# winding = 1
# current = 20000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.0129 0.000394122 0.000102178 0.1242055295
-0.00675 -0.00125 -0.0129 0.000394095 7.29789e-05 0.1242022025
-0.00675 -0.00075 -0.0129 0.000394078 4.3786e-05 0.1241999846
-0.00675 -0.00025 -0.0129 0.00039407 1.45943e-05 0.1241988757
-0.00675 0.00025 -0.0129 0.000394069 -1.45935e-05 0.1241988757
-0.00675 0.00075 -0.0129 0.000394079 -4.37841e-05 0.1241999846
-0.00675 0.00125 -0.0129 0.000394097 -7.2982e-05 0.1242022025
-0.00675 0.00175 -0.0129 0.000394121 -0.000102179 0.1242055296
-0.00625 -0.00275 -0.0129 0.000364896 0.000160551 0.1242010931
-0.00625 -0.00225 -0.0129 0.000364857 0.000131347 0.1241955486
-0.00625 -0.00175 -0.0129 0.000364822 0.000102149 0.1241911135
-0.00625 -0.00125 -0.0129 0.000364799 7.29594e-05 0.1241877874
-0.00625 -0.00075 -0.0129 0.000364783 4.3774e-05 0.1241855701
-0.00625 -0.00025 -0.0129 0.000364775 1.45892e-05 0.1241844615
-0.00625 0.00025 -0.0129 0.000364774 -1.45884e-05 0.1241844615
-0.00625 0.00075 -0.0129 0.000364783 -4.37749e-05 0.1241855701
-0.00625 0.00125 -0.0129 0.000364799 -7.29584e-05 0.1241877874
-0.00625 0.00175 -0.0129 0.000364824 -0.000102149 0.1241911135
-0.00625 0.00225 -0.0129 0.000364856 -0.000131345 0.1241955487
-0.00625 0.00275 -0.0129 0.000364895 -0.000160552 0.1242010931
-0.00575 -0.00375 -0.0129 0.000335711 0.000218939 0.1242022016
-0.00575 -0.00325 -0.0129 0.000335661 0.000189717 0.1241944394
-0.00575 -0.00275 -0.0129 0.000335616 0.000160509 0.1241877869
-0.00575 -0.00225 -0.0129 0.000335576 0.000131313 0.1241822439
-0.00575 -0.00175 -0.0129 0.000335549 0.000102121 0.1241778099
-0.00575 -0.00125 -0.0129 0.000335527 7.29401e-05 0.1241744847
-0.00575 -0.00075 -0.0129 0.000335512 4.37625e-05 0.124172268
-0.00575 -0.00025 -0.0129 0.000335504 1.45861e-05 0.1241711597
-0.00575 0.00025 -0.0129 0.000335504 -1.45845e-05 0.1241711597
-0.00575 0.00075 -0.0129 0.000335512 -4.37624e-05 0.124172268
-0.00575 0.00125 -0.0129 0.000335528 -7.29398e-05 0.1241744847
-0.00575 0.00175 -0.0129 0.000335549 -0.000102122 0.12417781
-0.00575 0.00225 -0.0129 0.000335578 -0.000131311 0.1241822439
-0.00575 0.00275 -0.0129 0.000335616 -0.000160508 0.124187787
