###############################################
# file created at: Wed Sep  1 23:41:54 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# height = 0.0263
# cubelen = 0.0005
# xy num = 616
# z num = 53
# cirnum*heinum = 32648

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.2
# gap = 0.5
# winding = 1
# current = 16014.4
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.0129 0.000315582 8.18157e-05 0.09945385404
-0.00675 -0.00125 -0.0129 0.00031556 5.84356e-05 0.09945119002
-0.00675 -0.00075 -0.0129 0.000315546 3.50603e-05 0.0994494141
-0.00675 -0.00025 -0.0129 0.000315539 1.16859e-05 0.09944852617
-0.00675 0.00025 -0.0129 0.000315539 -1.16853e-05 0.09944852618
-0.00675 0.00075 -0.0129 0.000315547 -3.50588e-05 0.09944941411
-0.00675 0.00125 -0.0129 0.000315561 -5.84382e-05 0.09945119003
-0.00675 0.00175 -0.0129 0.000315581 -8.18169e-05 0.09945385405
-0.00625 -0.00275 -0.0129 0.00029218 0.000128556 0.09945030169
-0.00625 -0.00225 -0.0129 0.000292148 0.000105172 0.09944586213
-0.00625 -0.00175 -0.0129 0.00029212 8.17927e-05 0.09944231083
-0.00625 -0.00125 -0.0129 0.000292102 5.84201e-05 0.09943964756
-0.00625 -0.00075 -0.0129 0.000292089 3.50507e-05 0.09943787214
-0.00625 -0.00025 -0.0129 0.000292083 1.16819e-05 0.09943698446
-0.00625 0.00025 -0.0129 0.000292082 -1.16813e-05 0.09943698446
-0.00625 0.00075 -0.0129 0.000292089 -3.50514e-05 0.09943787214
-0.00625 0.00125 -0.0129 0.000292102 -5.84193e-05 0.09943964757
-0.00625 0.00175 -0.0129 0.000292122 -8.17926e-05 0.09944231084
-0.00625 0.00225 -0.0129 0.000292148 -0.00010517 0.09944586215
-0.00625 0.00275 -0.0129 0.000292179 -0.000128557 0.09945030171
-0.00575 -0.00375 -0.0129 0.000268811 0.000175309 0.09945118929
-0.00575 -0.00325 -0.0129 0.00026877 0.00015191 0.09944497391
-0.00575 -0.00275 -0.0129 0.000268735 0.000128523 0.09943964719
-0.00575 -0.00225 -0.0129 0.000268703 0.000105145 0.09943520878
-0.00575 -0.00175 -0.0129 0.000268681 8.177e-05 0.0994316584
-0.00575 -0.00125 -0.0129 0.000268663 5.84046e-05 0.09942899582
-0.00575 -0.00075 -0.0129 0.000268651 3.50415e-05 0.09942722086
-0.00575 -0.00025 -0.0129 0.000268645 1.16794e-05 0.09942633341
-0.00575 0.00025 -0.0129 0.000268645 -1.16781e-05 0.09942633341
-0.00575 0.00075 -0.0129 0.000268651 -3.50414e-05 0.09942722086
-0.00575 0.00125 -0.0129 0.000268664 -5.84043e-05 0.09942899583
-0.00575 0.00175 -0.0129 0.000268681 -8.17708e-05 0.09943165841
-0.00575 0.00225 -0.0129 0.000268704 -0.000105144 0.0994352088
-0.00575 0.00275 -0.0129 0.000268734 -0.000128522 0.09943964721
-0.00575 0.00325 -0.0129 0.00026877 -0.000151911 0.09944497393
-0.00575 0.00375 -0.0129 0.000268812 -0.000175309 0.09945118932
-0.00525 -0.00425 -0.0129 0.00024542 0.00019867 0.09944852508
-0.00525 -0.00375 -0.0129 0.000245378 0.000175267 0.09944142233
-0.00525 -0.00325 -0.0129 0.000245339 0.000151873 0.09943520842
-0.00525 -0.00275 -0.0129 0.000245306 0.00012849 0.09942988296
-0.00525 -0.00225 -0.0129 0.000245278 0.000105119 0.09942544561
-0.00525 -0.00175 -0.0129 0.000245257 8.17502e-05 0.09942189607
-0.00525 -0.00125 -0.0129 0.000245241 5.83891e-05 0.09941923412
-0.00525 -0.00075 -0.0129 0.000245231 3.50331e-05 0.09941745958
-0.00525 -0.00025 -0.0129 0.000245225 1.16772e-05 0.09941657234
-0.00525 0.00025 -0.0129 0.000245225 -1.16773e-05 0.09941657234
-0.00525 0.00075 -0.0129 0.000245231 -3.50325e-05 0.09941745959
-0.00525 0.00125 -0.0129 0.000245242 -5.83897e-05 0.09941923413
-0.00525 0.00175 -0.0129 0.000245258 -8.17495e-05 0.09942189608
-0.00525 0.00225 -0.0129 0.000245279 -0.000105117 0.09942544562
-0.00525 0.00275 -0.0129 0.000245307 -0.000128491 0.09942988298
-0.00525 0.00325 -0.0129 0.000245339 -0.000151875 0.09943520844
-0.00525 0.00375 -0.0129 0.000245379 -0.000175267 0.09944142235
-0.00525 0.00425 -0.0129 0.00024542 -0.000198671 0.09944852511
-0.00475 -0.00475 -0.0129 0.000222043 0.000222039 0.0994476368
-0.00475 -0.00425 -0.0129 0.000221998 0.000198627 0.09943964646
-0.00475 -0.00375 -0.0129 0.000221959 0.000175227 0.09943254523
-0.00475 -0.00325 -0.0129 0.000221927 0.00015184 0.09942633267
-0.00475 -0.00275 -0.0129 0.000221896 0.000128461 0.09942100836
-0.00475 -0.00225 -0.0129 0.000221871 0.000105095 0.09941657196
-0.00475 -0.00175 -0.0129 0.000221852 8.17344e-05 0.09941302319
