###############################################
# file created at: Thu Sep  2 20:52:34 2021

# Cylinder map info
# center = (0, 0, 0.005)
# radius = 0.007
# height = 0.026
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.5
# gap = 0.8
# winding = 1
# current = 40000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.00775 3.13889e-05 8.13765e-06 0.1004075625
-0.00675 -0.00125 -0.00775 3.13882e-05 5.81254e-06 0.1004071131
-0.00675 -0.00075 -0.00775 3.13878e-05 3.48773e-06 0.1004068134
-0.00675 -0.00025 -0.00775 3.13874e-05 1.16309e-06 0.1004066636
-0.00675 0.00025 -0.00775 3.13874e-05 -1.16283e-06 0.1004066636
-0.00675 0.00075 -0.00775 3.13877e-05 -3.48786e-06 0.1004068134
-0.00675 0.00125 -0.00775 3.13878e-05 -5.81265e-06 0.1004071131
-0.00675 0.00175 -0.00775 3.13885e-05 -8.13732e-06 0.1004075625
-0.00625 -0.00275 -0.00775 2.90631e-05 1.27871e-05 0.1004069631
-0.00625 -0.00225 -0.00775 2.90626e-05 1.04622e-05 0.100406214
-0.00625 -0.00175 -0.00775 2.9062e-05 8.13689e-06 0.1004056148
-0.00625 -0.00125 -0.00775 2.90616e-05 5.81123e-06 0.1004051653
-0.00625 -0.00075 -0.00775 2.90612e-05 3.48658e-06 0.1004048657
-0.00625 -0.00025 -0.00775 2.90614e-05 1.16252e-06 0.1004047159
-0.00625 0.00025 -0.00775 2.90617e-05 -1.16202e-06 0.1004047159
-0.00625 0.00075 -0.00775 2.90614e-05 -3.48685e-06 0.1004048657
-0.00625 0.00125 -0.00775 2.90616e-05 -5.81114e-06 0.1004051653
-0.00625 0.00175 -0.00775 2.90619e-05 -8.13729e-06 0.1004056148
-0.00625 0.00225 -0.00775 2.90628e-05 -1.04618e-05 0.100406214
-0.00625 0.00275 -0.00775 2.90627e-05 -1.27873e-05 0.1004069631
-0.00575 -0.00375 -0.00775 2.67381e-05 1.74367e-05 0.1004071127
-0.00575 -0.00325 -0.00775 2.67373e-05 1.51117e-05 0.100406064
-0.00575 -0.00275 -0.00775 2.67372e-05 1.27867e-05 0.1004051652
-0.00575 -0.00225 -0.00775 2.67363e-05 1.0462e-05 0.1004044161
-0.00575 -0.00175 -0.00775 2.67362e-05 8.13654e-06 0.1004038169
-0.00575 -0.00125 -0.00775 2.67361e-05 5.81157e-06 0.1004033675
-0.00575 -0.00075 -0.00775 2.67357e-05 3.4875e-06 0.1004030679
-0.00575 -0.00025 -0.00775 2.67353e-05 1.16288e-06 0.1004029181
-0.00575 0.00025 -0.00775 2.67356e-05 -1.16251e-06 0.1004029181
-0.00575 0.00075 -0.00775 2.67357e-05 -3.48759e-06 0.1004030679
-0.00575 0.00125 -0.00775 2.67353e-05 -5.81169e-06 0.1004033675
-0.00575 0.00175 -0.00775 2.67359e-05 -8.1363e-06 0.1004038169
-0.00575 0.00225 -0.00775 2.67367e-05 -1.04614e-05 0.1004044161
-0.00575 0.00275 -0.00775 2.67368e-05 -1.27869e-05 0.1004051652
-0.00575 0.00325 -0.00775 2.67369e-05 -1.51119e-05 0.100406064
-0.00575 0.00375 -0.00775 2.67379e-05 -1.74366e-05 0.1004071128
-0.00525 -0.00425 -0.00775 2.44132e-05 1.97621e-05 0.1004066631
-0.00525 -0.00375 -0.00775 2.44125e-05 1.74368e-05 0.1004054646
-0.00525 -0.00325 -0.00775 2.44121e-05 1.51108e-05 0.100404416
-0.00525 -0.00275 -0.00775 2.44112e-05 1.27863e-05 0.1004035171
-0.00525 -0.00225 -0.00775 2.44105e-05 1.04611e-05 0.1004027681
-0.00525 -0.00175 -0.00775 2.44102e-05 8.13582e-06 0.1004021689
-0.00525 -0.00125 -0.00775 2.44101e-05 5.81156e-06 0.1004017195
-0.00525 -0.00075 -0.00775 2.44099e-05 3.48733e-06 0.1004014199
-0.00525 -0.00025 -0.00775 2.44094e-05 1.16301e-06 0.1004012701
-0.00525 0.00025 -0.00775 2.44096e-05 -1.1628e-06 0.1004012701
-0.00525 0.00075 -0.00775 2.44098e-05 -3.48721e-06 0.1004014199
-0.00525 0.00125 -0.00775 2.44099e-05 -5.81189e-06 0.1004017195
-0.00525 0.00175 -0.00775 2.44103e-05 -8.13581e-06 0.1004021689
-0.00525 0.00225 -0.00775 2.44108e-05 -1.04613e-05 0.1004027681
-0.00525 0.00275 -0.00775 2.4411e-05 -1.27866e-05 0.1004035171
-0.00525 0.00325 -0.00775 2.44117e-05 -1.51107e-05 0.100404416
-0.00525 0.00375 -0.00775 2.44124e-05 -1.74366e-05 0.1004054646
-0.00525 0.00425 -0.00775 2.44128e-05 -1.97629e-05 0.1004066631
-0.00475 -0.00475 -0.00775 2.20877e-05 2.20863e-05 0.1004065132
-0.00475 -0.00425 -0.00775 2.20872e-05 1.97613e-05 0.1004051648
-0.00475 -0.00375 -0.00775 2.20864e-05 1.74362e-05 0.1004039664
-0.00475 -0.00325 -0.00775 2.20862e-05 1.51098e-05 0.1004029177
-0.00475 -0.00275 -0.00775 2.20856e-05 1.27854e-05 0.1004020189
-0.00475 -0.00225 -0.00775 2.20851e-05 1.04611e-05 0.10040127
-0.00475 -0.00175 -0.00775 2.20843e-05 8.13571e-06 0.1004006708
-0.00475 -0.00125 -0.00775 2.20846e-05 5.8105e-06 0.1004002214
-0.00475 -0.00075 -0.00775 2.20847e-05 3.48685e-06 0.1003999218
-0.00475 -0.00025 -0.00775 2.2084e-05 1.16265e-06 0.100399772
-0.00475 0.00025 -0.00775 2.2084e-05 -1.16218e-06 0.100399772
-0.00475 0.00075 -0.00775 2.20844e-05 -3.48687e-06 0.1003999218
-0.00475 0.00125 -0.00775 2.20845e-05 -5.81031e-06 0.1004002214
-0.00475 0.00175 -0.00775 2.20847e-05 -8.1359e-06 0.1004006708
-0.00475 0.00225 -0.00775 2.20853e-05 -1.04611e-05 0.10040127
-0.00475 0.00275 -0.00775 2.20854e-05 -1.27858e-05 0.1004020189
-0.00475 0.00325 -0.00775 2.2086e-05 -1.51103e-05 0.1004029177
-0.00475 0.00375 -0.00775 2.20861e-05 -1.74361e-05 0.1004039664
