###############################################
# file created at: Thu Sep  2 20:19:39 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# height = 0.026
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.5
# gap = 0.8
# winding = 1
# current = 20000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.01275 2.57931e-05 6.68712e-06 0.05017303619
-0.00675 -0.00125 -0.01275 2.57929e-05 4.77692e-06 0.05017281214
-0.00675 -0.00075 -0.01275 2.57928e-05 2.86577e-06 0.05017266279
-0.00675 -0.00025 -0.01275 2.57928e-05 9.55274e-07 0.05017258811
-0.00675 0.00025 -0.01275 2.57929e-05 -9.55402e-07 0.05017258811
-0.00675 0.00075 -0.01275 2.57926e-05 -2.8657e-06 0.05017266279
-0.00675 0.00125 -0.01275 2.57929e-05 -4.77664e-06 0.05017281215
-0.00675 0.00175 -0.01275 2.57933e-05 -6.68695e-06 0.05017303619
-0.00625 -0.00275 -0.01275 2.38824e-05 1.05082e-05 0.05017273738
-0.00625 -0.00225 -0.01275 2.38822e-05 8.59717e-06 0.05017236399
-0.00625 -0.00175 -0.01275 2.38817e-05 6.68663e-06 0.05017206528
-0.00625 -0.00125 -0.01275 2.38812e-05 4.7761e-06 0.05017184125
-0.00625 -0.00075 -0.01275 2.38809e-05 2.86557e-06 0.05017169189
-0.00625 -0.00025 -0.01275 2.38808e-05 9.55193e-07 0.05017161722
-0.00625 0.00025 -0.01275 2.3881e-05 -9.55303e-07 0.05017161722
-0.00625 0.00075 -0.01275 2.38809e-05 -2.86547e-06 0.05017169189
-0.00625 0.00125 -0.01275 2.38811e-05 -4.7759e-06 0.05017184125
-0.00625 0.00175 -0.01275 2.38817e-05 -6.68681e-06 0.05017206528
-0.00625 0.00225 -0.01275 2.3882e-05 -8.59773e-06 0.05017236399
-0.00625 0.00275 -0.01275 2.38824e-05 -1.05081e-05 0.05017273739
-0.00575 -0.00375 -0.01275 2.19715e-05 1.4329e-05 0.05017281198
-0.00575 -0.00325 -0.01275 2.19711e-05 1.24184e-05 0.05017228923
-0.00575 -0.00275 -0.01275 2.1971e-05 1.05074e-05 0.05017184117
-0.00575 -0.00225 -0.01275 2.19705e-05 8.59644e-06 0.05017146779
-0.00575 -0.00175 -0.01275 2.19703e-05 6.6861e-06 0.05017116909
-0.00575 -0.00125 -0.01275 2.19699e-05 4.776e-06 0.05017094507
-0.00575 -0.00075 -0.01275 2.19695e-05 2.86567e-06 0.05017079572
-0.00575 -0.00025 -0.01275 2.19696e-05 9.55269e-07 0.05017072105
-0.00575 0.00025 -0.01275 2.19695e-05 -9.55449e-07 0.05017072105
-0.00575 0.00075 -0.01275 2.19698e-05 -2.86592e-06 0.05017079572
-0.00575 0.00125 -0.01275 2.19699e-05 -4.77618e-06 0.05017094507
-0.00575 0.00175 -0.01275 2.19701e-05 -6.6861e-06 0.05017116909
-0.00575 0.00225 -0.01275 2.19706e-05 -8.59689e-06 0.05017146779
-0.00575 0.00275 -0.01275 2.19708e-05 -1.05072e-05 0.05017184117
-0.00575 0.00325 -0.01275 2.19713e-05 -1.24181e-05 0.05017228923
-0.00575 0.00375 -0.01275 2.1972e-05 -1.43288e-05 0.05017281199
-0.00525 -0.00425 -0.01275 2.00613e-05 1.62393e-05 0.05017258786
-0.00525 -0.00375 -0.01275 2.00606e-05 1.43284e-05 0.05017199044
-0.00525 -0.00325 -0.01275 2.00601e-05 1.24175e-05 0.05017146771
-0.00525 -0.00275 -0.01275 2.00595e-05 1.05072e-05 0.05017101966
-0.00525 -0.00225 -0.01275 2.00593e-05 8.59595e-06 0.0501706463
-0.00525 -0.00175 -0.01275 2.00589e-05 6.68622e-06 0.05017034761
-0.00525 -0.00125 -0.01275 2.00584e-05 4.77578e-06 0.0501701236
-0.00525 -0.00075 -0.01275 2.00586e-05 2.8651e-06 0.05016997426
-0.00525 -0.00025 -0.01275 2.00582e-05 9.54886e-07 0.05016989959
-0.00525 0.00025 -0.01275 2.00586e-05 -9.54811e-07 0.05016989959
-0.00525 0.00075 -0.01275 2.00587e-05 -2.86538e-06 0.05016997426
-0.00525 0.00125 -0.01275 2.00585e-05 -4.77575e-06 0.0501701236
-0.00525 0.00175 -0.01275 2.0059e-05 -6.68572e-06 0.05017034761
-0.00525 0.00225 -0.01275 2.00592e-05 -8.59595e-06 0.0501706463
-0.00525 0.00275 -0.01275 2.00595e-05 -1.05065e-05 0.05017101966
-0.00525 0.00325 -0.01275 2.00601e-05 -1.24172e-05 0.05017146771
-0.00525 0.00375 -0.01275 2.00606e-05 -1.43283e-05 0.05017199044
-0.00525 0.00425 -0.01275 2.0061e-05 -1.62395e-05 0.05017258787
-0.00475 -0.00475 -0.01275 1.81507e-05 1.81493e-05 0.0501725131
-0.00475 -0.00425 -0.01275 1.81499e-05 1.62382e-05 0.050171841
-0.00475 -0.00375 -0.01275 1.81493e-05 1.4328e-05 0.0501712436
-0.00475 -0.00325 -0.01275 1.81492e-05 1.24178e-05 0.05017072089
-0.00475 -0.00275 -0.01275 1.81483e-05 1.05063e-05 0.05017027286
-0.00475 -0.00225 -0.01275 1.81483e-05 8.59582e-06 0.05016989951
-0.00475 -0.00175 -0.01275 1.8148e-05 6.68631e-06 0.05016960083
-0.00475 -0.00125 -0.01275 1.81477e-05 4.77594e-06 0.05016937683
-0.00475 -0.00075 -0.01275 1.81476e-05 2.8652e-06 0.05016922749
-0.00475 -0.00025 -0.01275 1.81474e-05 9.54952e-07 0.05016915283
-0.00475 0.00025 -0.01275 1.81478e-05 -9.54835e-07 0.05016915283
-0.00475 0.00075 -0.01275 1.81478e-05 -2.86529e-06 0.05016922749
-0.00475 0.00125 -0.01275 1.81478e-05 -4.77582e-06 0.05016937683
-0.00475 0.00175 -0.01275 1.8148e-05 -6.68573e-06 0.05016960083
-0.00475 0.00225 -0.01275 1.81481e-05 -8.59595e-06 0.05016989951
-0.00475 0.00275 -0.01275 1.81485e-05 -1.05063e-05 0.05017027286
-0.00475 0.00325 -0.01275 1.81489e-05 -1.24172e-05 0.05017072089
-0.00475 0.00375 -0.01275 1.81496e-05 -1.43279e-05 0.0501712436
-0.00475 0.00425 -0.01275 1.81502e-05 -1.62382e-05 0.05017184101
-0.00475 0.00475 -0.01275 1.81505e-05 -1.81494e-05 0.05017251311
-0.00425 -0.00525 -0.01275 1.62401e-05 2.00599e-05 0.0501725877
-0.00425 -0.00475 -0.01275 1.62394e-05 1.8149e-05 0.05017184092
-0.00425 -0.00425 -0.01275 1.62387e-05 1.62382e-05 0.05017116884
-0.00425 -0.00375 -0.01275 1.62386e-05 1.43271e-05 0.05017057146
-0.00425 -0.00325 -0.01275 1.62382e-05 1.24162e-05 0.05017004876
-0.00425 -0.00275 -0.01275 1.62378e-05 1.05061e-05 0.05016960075
-0.00425 -0.00225 -0.01275 1.62375e-05 8.59607e-06 0.05016922741
-0.00425 -0.00175 -0.01275 1.62374e-05 6.68531e-06 0.05016892875
-0.00425 -0.00125 -0.01275 1.62372e-05 4.77524e-06 0.05016870475
-0.00425 -0.00075 -0.01275 1.62369e-05 2.86522e-06 0.05016855542
-0.00425 -0.00025 -0.01275 1.62369e-05 9.55095e-07 0.05016848076
-0.00425 0.00025 -0.01275 1.62368e-05 -9.55139e-07 0.05016848076
-0.00425 0.00075 -0.01275 1.6237e-05 -2.86526e-06 0.05016855542
-0.00425 0.00125 -0.01275 1.62372e-05 -4.77517e-06 0.05016870475
-0.00425 0.00175 -0.01275 1.62373e-05 -6.68572e-06 0.05016892875
-0.00425 0.00225 -0.01275 1.62374e-05 -8.59574e-06 0.05016922741
-0.00425 0.00275 -0.01275 1.62381e-05 -1.05059e-05 0.05016960075
-0.00425 0.00325 -0.01275 1.6238e-05 -1.24163e-05 0.05017004877
-0.00425 0.00375 -0.01275 1.62389e-05 -1.4327e-05 0.05017057146
-0.00425 0.00425 -0.01275 1.62386e-05 -1.62384e-05 0.05017116885
-0.00425 0.00475 -0.01275 1.624e-05 -1.81486e-05 0.05017184093
-0.00425 0.00525 -0.01275 1.62401e-05 -2.006e-05 0.0501725877
-0.00375 -0.00575 -0.01275 1.43301e-05 2.19707e-05 0.05017281166
-0.00375 -0.00525 -0.01275 1.43294e-05 2.00596e-05 0.05017199019
-0.00375 -0.00475 -0.01275 1.43286e-05 1.81487e-05 0.05017124344
-0.00375 -0.00425 -0.01275 1.43285e-05 1.62373e-05 0.05017057138
-0.00375 -0.00375 -0.01275 1.4328e-05 1.43271e-05 0.05016997401
-0.00375 -0.00325 -0.01275 1.43276e-05 1.24164e-05 0.05016945133
-0.00375 -0.00275 -0.01275 1.43272e-05 1.0506e-05 0.05016900333
-0.00375 -0.00225 -0.01275 1.43269e-05 8.59529e-06 0.05016863
-0.00375 -0.00175 -0.01275 1.4327e-05 6.68543e-06 0.05016833135
-0.00375 -0.00125 -0.01275 1.43264e-05 4.77537e-06 0.05016810736
-0.00375 -0.00075 -0.01275 1.43264e-05 2.86516e-06 0.05016795803
-0.00375 -0.00025 -0.01275 1.43265e-05 9.55185e-07 0.05016788337
-0.00375 0.00025 -0.01275 1.43263e-05 -9.55273e-07 0.05016788337
-0.00375 0.00075 -0.01275 1.43264e-05 -2.86525e-06 0.05016795803
-0.00375 0.00125 -0.01275 1.43267e-05 -4.77547e-06 0.05016810736
-0.00375 0.00175 -0.01275 1.43264e-05 -6.68517e-06 0.05016833135
-0.00375 0.00225 -0.01275 1.43269e-05 -8.59585e-06 0.05016863
-0.00375 0.00275 -0.01275 1.4327e-05 -1.05058e-05 0.05016900333
-0.00375 0.00325 -0.01275 1.43272e-05 -1.24164e-05 0.05016945133
-0.00375 0.00375 -0.01275 1.43276e-05 -1.43269e-05 0.05016997401
-0.00375 0.00425 -0.01275 1.43283e-05 -1.62373e-05 0.05017057138
-0.00375 0.00475 -0.01275 1.4329e-05 -1.8149e-05 0.05017124344
-0.00375 0.00525 -0.01275 1.43293e-05 -2.00602e-05 0.0501719902
-0.00375 0.00575 -0.01275 1.43298e-05 -2.19712e-05 0.05017281166
-0.00325 -0.00575 -0.01275 1.24191e-05 2.19704e-05 0.05017228882
-0.00325 -0.00525 -0.01275 1.24187e-05 2.00591e-05 0.05017146738
-0.00325 -0.00475 -0.01275 1.2418e-05 1.81484e-05 0.05017072064
-0.00325 -0.00425 -0.01275 1.2418e-05 1.62372e-05 0.0501700486
-0.00325 -0.00375 -0.01275 1.24177e-05 1.43261e-05 0.05016945125
-0.00325 -0.00325 -0.01275 1.2417e-05 1.24155e-05 0.05016892858
-0.00325 -0.00275 -0.01275 1.24163e-05 1.0506e-05 0.05016848059
-0.00325 -0.00225 -0.01275 1.24167e-05 8.59542e-06 0.05016810727
-0.00325 -0.00175 -0.01275 1.24164e-05 6.6853e-06 0.05016780863
-0.00325 -0.00125 -0.01275 1.24161e-05 4.77506e-06 0.05016758464
-0.00325 -0.00075 -0.01275 1.24161e-05 2.86475e-06 0.05016743532
-0.00325 -0.00025 -0.01275 1.24161e-05 9.54715e-07 0.05016736066
-0.00325 0.00025 -0.01275 1.24158e-05 -9.54784e-07 0.05016736066
-0.00325 0.00075 -0.01275 1.24163e-05 -2.86501e-06 0.05016743532
-0.00325 0.00125 -0.01275 1.24161e-05 -4.77502e-06 0.05016758464
-0.00325 0.00175 -0.01275 1.24164e-05 -6.68499e-06 0.05016780863
-0.00325 0.00225 -0.01275 1.24167e-05 -8.59557e-06 0.05016810728
-0.00325 0.00275 -0.01275 1.24166e-05 -1.05059e-05 0.05016848059
-0.00325 0.00325 -0.01275 1.2417e-05 -1.24159e-05 0.05016892858
-0.00325 0.00375 -0.01275 1.2417e-05 -1.43263e-05 0.05016945125
-0.00325 0.00425 -0.01275 1.24176e-05 -1.62371e-05 0.0501700486
-0.00325 0.00475 -0.01275 1.2418e-05 -1.81483e-05 0.05017072064
-0.00325 0.00525 -0.01275 1.24186e-05 -2.00593e-05 0.05017146738
-0.00325 0.00575 -0.01275 1.2419e-05 -2.19701e-05 0.05017228883
-0.00275 -0.00625 -0.01275 1.05088e-05 2.38813e-05 0.05017273681
-0.00275 -0.00575 -0.01275 1.05082e-05 2.19696e-05 0.05017184068
-0.00275 -0.00525 -0.01275 1.0508e-05 2.00586e-05 0.05017101925
-0.00275 -0.00475 -0.01275 1.05076e-05 1.81476e-05 0.05017027253
-0.00275 -0.00425 -0.01275 1.05072e-05 1.62366e-05 0.0501696005
-0.00275 -0.00375 -0.01275 1.05067e-05 1.43266e-05 0.05016900317
-0.00275 -0.00325 -0.01275 1.05067e-05 1.24157e-05 0.05016848051
-0.00275 -0.00275 -0.01275 1.05064e-05 1.05057e-05 0.05016803253
-0.00275 -0.00225 -0.01275 1.05064e-05 8.5951e-06 0.05016765922
-0.00275 -0.00175 -0.01275 1.05062e-05 6.68453e-06 0.05016736058
-0.00275 -0.00125 -0.01275 1.05059e-05 4.77455e-06 0.0501671366
-0.00275 -0.00075 -0.01275 1.05059e-05 2.86479e-06 0.05016698728
-0.00275 -0.00025 -0.01275 1.05059e-05 9.55366e-07 0.05016691262
-0.00275 0.00025 -0.01275 1.0506e-05 -9.55004e-07 0.05016691262
-0.00275 0.00075 -0.01275 1.05062e-05 -2.86455e-06 0.05016698728
-0.00275 0.00125 -0.01275 1.0506e-05 -4.77474e-06 0.0501671366
-0.00275 0.00175 -0.01275 1.05058e-05 -6.68513e-06 0.05016736058
-0.00275 0.00225 -0.01275 1.05063e-05 -8.59531e-06 0.05016765922
-0.00275 0.00275 -0.01275 1.05063e-05 -1.05057e-05 0.05016803253
-0.00275 0.00325 -0.01275 1.05065e-05 -1.24157e-05 0.05016848051
-0.00275 0.00375 -0.01275 1.05069e-05 -1.43266e-05 0.05016900317
-0.00275 0.00425 -0.01275 1.05072e-05 -1.62368e-05 0.05016960051
-0.00275 0.00475 -0.01275 1.05079e-05 -1.81476e-05 0.05017027253
-0.00275 0.00525 -0.01275 1.05081e-05 -2.00589e-05 0.05017101925
-0.00275 0.00575 -0.01275 1.05083e-05 -2.19697e-05 0.05017184068
-0.00275 0.00625 -0.01275 1.05088e-05 -2.38808e-05 0.05017273682
-0.00225 -0.00625 -0.01275 8.59807e-06 2.38807e-05 0.05017236334
-0.00225 -0.00575 -0.01275 8.59798e-06 2.19695e-05 0.05017146721
-0.00225 -0.00525 -0.01275 8.59735e-06 2.00583e-05 0.0501706458
-0.00225 -0.00475 -0.01275 8.59708e-06 1.81476e-05 0.0501698991
-0.00225 -0.00425 -0.01275 8.59668e-06 1.62369e-05 0.05016922708
-0.00225 -0.00375 -0.01275 8.59642e-06 1.43258e-05 0.05016862976
-0.00225 -0.00325 -0.01275 8.59655e-06 1.24151e-05 0.05016810711
-0.00225 -0.00275 -0.01275 8.59627e-06 1.05054e-05 0.05016765914
-0.00225 -0.00225 -0.01275 8.59582e-06 8.59543e-06 0.05016728584
-0.00225 -0.00175 -0.01275 8.59594e-06 6.68444e-06 0.0501669872
-0.00225 -0.00125 -0.01275 8.59583e-06 4.77423e-06 0.05016676322
-0.00225 -0.00075 -0.01275 8.5955e-06 2.86509e-06 0.05016661391
-0.00225 -0.00025 -0.01275 8.59572e-06 9.5516e-07 0.05016653925
-0.00225 0.00025 -0.01275 8.59584e-06 -9.54941e-07 0.05016653925
-0.00225 0.00075 -0.01275 8.59596e-06 -2.86503e-06 0.05016661391
-0.00225 0.00125 -0.01275 8.59581e-06 -4.77436e-06 0.05016676323
-0.00225 0.00175 -0.01275 8.59562e-06 -6.68437e-06 0.0501669872
-0.00225 0.00225 -0.01275 8.5959e-06 -8.595e-06 0.05016728584
-0.00225 0.00275 -0.01275 8.59618e-06 -1.05056e-05 0.05016765914
-0.00225 0.00325 -0.01275 8.59654e-06 -1.24148e-05 0.05016810711
-0.00225 0.00375 -0.01275 8.59645e-06 -1.4326e-05 0.05016862976
-0.00225 0.00425 -0.01275 8.59655e-06 -1.62365e-05 0.05016922709
-0.00225 0.00475 -0.01275 8.59704e-06 -1.8148e-05 0.0501698991
-0.00225 0.00525 -0.01275 8.59751e-06 -2.00578e-05 0.05017064581
-0.00225 0.00575 -0.01275 8.59788e-06 -2.19688e-05 0.05017146722
-0.00225 0.00625 -0.01275 8.59823e-06 -2.38807e-05 0.05017236334
-0.00175 -0.00675 -0.01275 6.68803e-06 2.5792e-05 0.05017303537
-0.00175 -0.00625 -0.01275 6.68747e-06 2.38804e-05 0.05017206454
-0.00175 -0.00575 -0.01275 6.68716e-06 2.19694e-05 0.05017116843
-0.00175 -0.00525 -0.01275 6.68709e-06 2.0058e-05 0.05017034703
-0.00175 -0.00475 -0.01275 6.68691e-06 1.81471e-05 0.05016960034
-0.00175 -0.00425 -0.01275 6.68655e-06 1.62359e-05 0.05016892833
-0.00175 -0.00375 -0.01275 6.68651e-06 1.43254e-05 0.05016833102
-0.00175 -0.00325 -0.01275 6.68626e-06 1.24156e-05 0.05016780838
-0.00175 -0.00275 -0.01275 6.68615e-06 1.05047e-05 0.05016736041
-0.00175 -0.00225 -0.01275 6.686e-06 8.59485e-06 0.05016698712
-0.00175 -0.00175 -0.01275 6.68572e-06 6.68486e-06 0.05016668848
-0.00175 -0.00125 -0.01275 6.68572e-06 4.77498e-06 0.05016646451
-0.00175 -0.00075 -0.01275 6.6857e-06 2.86476e-06 0.0501663152
-0.00175 -0.00025 -0.01275 6.68538e-06 9.5507e-07 0.05016624054
-0.00175 0.00025 -0.01275 6.68559e-06 -9.5509e-07 0.05016624054
-0.00175 0.00075 -0.01275 6.68587e-06 -2.8648e-06 0.0501663152
-0.00175 0.00125 -0.01275 6.68556e-06 -4.77462e-06 0.05016646451
-0.00175 0.00175 -0.01275 6.68593e-06 -6.68478e-06 0.05016668849
-0.00175 0.00225 -0.01275 6.68594e-06 -8.59436e-06 0.05016698712
-0.00175 0.00275 -0.01275 6.68602e-06 -1.05051e-05 0.05016736041
-0.00175 0.00325 -0.01275 6.68608e-06 -1.24155e-05 0.05016780838
-0.00175 0.00375 -0.01275 6.68635e-06 -1.43257e-05 0.05016833102
-0.00175 0.00425 -0.01275 6.68668e-06 -1.6236e-05 0.05016892834
-0.00175 0.00475 -0.01275 6.68695e-06 -1.81475e-05 0.05016960034
-0.00175 0.00525 -0.01275 6.68692e-06 -2.00581e-05 0.05017034704
-0.00175 0.00575 -0.01275 6.6873e-06 -2.1969e-05 0.05017116843
-0.00175 0.00625 -0.01275 6.68771e-06 -2.38803e-05 0.05017206454
-0.00175 0.00675 -0.01275 6.6877e-06 -2.57923e-05 0.05017303537
-0.00125 -0.00675 -0.01275 4.77713e-06 2.5792e-05 0.05017281125
-0.00125 -0.00625 -0.01275 4.77711e-06 2.38798e-05 0.05017184043
-0.00125 -0.00575 -0.01275 4.77682e-06 2.19684e-05 0.05017094433
-0.00125 -0.00525 -0.01275 4.77662e-06 2.00577e-05 0.05017012294
-0.00125 -0.00475 -0.01275 4.77621e-06 1.81467e-05 0.05016937625
-0.00125 -0.00425 -0.01275 4.7762e-06 1.62359e-05 0.05016870425
-0.00125 -0.00375 -0.01275 4.77649e-06 1.43254e-05 0.05016810694
