###############################################
# file created at: Fri Sep  3 15:29:53 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# height = 0.026
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.5
# gap = 0.8
# winding = 1
# current = 10000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.01275 5.15861e-05 1.33733e-05 0.1003460724
-0.00675 -0.00125 -0.01275 5.15852e-05 9.55364e-06 0.1003456243
-0.00675 -0.00075 -0.01275 5.15849e-05 5.73127e-06 0.1003453256
-0.00675 -0.00025 -0.01275 5.15851e-05 1.91004e-06 0.1003451762
-0.00675 0.00025 -0.01275 5.15853e-05 -1.90957e-06 0.1003451762
-0.00675 0.00075 -0.01275 5.15858e-05 -5.73115e-06 0.1003453256
-0.00675 0.00125 -0.01275 5.15861e-05 -9.55317e-06 0.1003456243
-0.00675 0.00175 -0.01275 5.1586e-05 -1.3374e-05 0.1003460724
-0.00625 -0.00275 -0.01275 4.77644e-05 2.10158e-05 0.1003454748
-0.00625 -0.00225 -0.01275 4.77636e-05 1.71943e-05 0.100344728
-0.00625 -0.00175 -0.01275 4.77629e-05 1.33727e-05 0.1003441306
-0.00625 -0.00125 -0.01275 4.77624e-05 9.55241e-06 0.1003436825
-0.00625 -0.00075 -0.01275 4.77623e-05 5.73145e-06 0.1003433838
-0.00625 -0.00025 -0.01275 4.77622e-05 1.91048e-06 0.1003432344
-0.00625 0.00025 -0.01275 4.77621e-05 -1.91089e-06 0.1003432344
-0.00625 0.00075 -0.01275 4.77622e-05 -5.732e-06 0.1003433838
-0.00625 0.00125 -0.01275 4.77624e-05 -9.55192e-06 0.1003436825
-0.00625 0.00175 -0.01275 4.77629e-05 -1.33725e-05 0.1003441306
-0.00625 0.00225 -0.01275 4.77639e-05 -1.71947e-05 0.100344728
-0.00625 0.00275 -0.01275 4.77645e-05 -2.10162e-05 0.1003454748
-0.00575 -0.00375 -0.01275 4.3944e-05 2.86581e-05 0.100345624
-0.00575 -0.00325 -0.01275 4.39427e-05 2.48362e-05 0.1003445785
-0.00575 -0.00275 -0.01275 4.39412e-05 2.10143e-05 0.1003436823
-0.00575 -0.00225 -0.01275 4.39413e-05 1.71942e-05 0.1003429356
-0.00575 -0.00175 -0.01275 4.39404e-05 1.33719e-05 0.1003423382
-0.00575 -0.00125 -0.01275 4.39399e-05 9.55206e-06 0.1003418901
-0.00575 -0.00075 -0.01275 4.39397e-05 5.73096e-06 0.1003415914
-0.00575 -0.00025 -0.01275 4.39391e-05 1.91051e-06 0.1003414421
-0.00575 0.00025 -0.01275 4.39393e-05 -1.91025e-06 0.1003414421
-0.00575 0.00075 -0.01275 4.39394e-05 -5.73169e-06 0.1003415914
-0.00575 0.00125 -0.01275 4.39399e-05 -9.55228e-06 0.1003418901
-0.00575 0.00175 -0.01275 4.39402e-05 -1.33722e-05 0.1003423382
-0.00575 0.00225 -0.01275 4.39409e-05 -1.7194e-05 0.1003429356
-0.00575 0.00275 -0.01275 4.39417e-05 -2.10148e-05 0.1003436823
-0.00575 0.00325 -0.01275 4.3943e-05 -2.4837e-05 0.1003445785
-0.00575 0.00375 -0.01275 4.39438e-05 -2.86578e-05 0.100345624
-0.00525 -0.00425 -0.01275 4.01227e-05 3.24784e-05 0.1003451757
-0.00525 -0.00375 -0.01275 4.01205e-05 2.86557e-05 0.1003439809
-0.00525 -0.00325 -0.01275 4.012e-05 2.48342e-05 0.1003429354
-0.00525 -0.00275 -0.01275 4.01189e-05 2.10132e-05 0.1003420393
-0.00525 -0.00225 -0.01275 4.0118e-05 1.7192e-05 0.1003412926
-0.00525 -0.00175 -0.01275 4.01182e-05 1.33726e-05 0.1003406952
-0.00525 -0.00125 -0.01275 4.0118e-05 9.55099e-06 0.1003402472
-0.00525 -0.00075 -0.01275 4.01173e-05 5.73131e-06 0.1003399485
-0.00525 -0.00025 -0.01275 4.01163e-05 1.91031e-06 0.1003397992
-0.00525 0.00025 -0.01275 4.01169e-05 -1.91014e-06 0.1003397992
-0.00525 0.00075 -0.01275 4.0117e-05 -5.73093e-06 0.1003399485
-0.00525 0.00125 -0.01275 4.01172e-05 -9.55055e-06 0.1003402472
-0.00525 0.00175 -0.01275 4.01178e-05 -1.33729e-05 0.1003406952
-0.00525 0.00225 -0.01275 4.01185e-05 -1.71926e-05 0.1003412926
-0.00525 0.00275 -0.01275 4.01193e-05 -2.10134e-05 0.1003420393
-0.00525 0.00325 -0.01275 4.01198e-05 -2.48352e-05 0.1003429354
-0.00525 0.00375 -0.01275 4.01212e-05 -2.86565e-05 0.1003439809
-0.00525 0.00425 -0.01275 4.01221e-05 -3.24784e-05 0.1003451757
-0.00475 -0.00475 -0.01275 3.6301e-05 3.62992e-05 0.1003450262
-0.00475 -0.00425 -0.01275 3.63001e-05 3.24771e-05 0.100343682
-0.00475 -0.00375 -0.01275 3.6299e-05 2.86549e-05 0.1003424872
-0.00475 -0.00325 -0.01275 3.62981e-05 2.48334e-05 0.1003414418
-0.00475 -0.00275 -0.01275 3.62974e-05 2.10128e-05 0.1003405457
-0.00475 -0.00225 -0.01275 3.62967e-05 1.71917e-05 0.100339799
-0.00475 -0.00175 -0.01275 3.62957e-05 1.33715e-05 0.1003392017
-0.00475 -0.00125 -0.01275 3.62958e-05 9.55011e-06 0.1003387537
-0.00475 -0.00075 -0.01275 3.62952e-05 5.72983e-06 0.100338455
-0.00475 -0.00025 -0.01275 3.62953e-05 1.90998e-06 0.1003383057
-0.00475 0.00025 -0.01275 3.62954e-05 -1.90974e-06 0.1003383057
-0.00475 0.00075 -0.01275 3.62948e-05 -5.73068e-06 0.100338455
-0.00475 0.00125 -0.01275 3.62952e-05 -9.54918e-06 0.1003387537
-0.00475 0.00175 -0.01275 3.6296e-05 -1.33716e-05 0.1003392017
-0.00475 0.00225 -0.01275 3.62964e-05 -1.71926e-05 0.100339799
-0.00475 0.00275 -0.01275 3.62974e-05 -2.10129e-05 0.1003405457
-0.00475 0.00325 -0.01275 3.62977e-05 -2.48333e-05 0.1003414418
-0.00475 0.00375 -0.01275 3.62983e-05 -2.86554e-05 0.1003424872
-0.00475 0.00425 -0.01275 3.62999e-05 -3.24769e-05 0.100343682
-0.00475 0.00475 -0.01275 3.63013e-05 -3.62996e-05 0.1003450262
-0.00425 -0.00525 -0.01275 3.24807e-05 4.012e-05 0.1003451754
-0.00425 -0.00475 -0.01275 3.24788e-05 3.6297e-05 0.1003436818
-0.00425 -0.00425 -0.01275 3.24779e-05 3.24757e-05 0.1003423377
-0.00425 -0.00375 -0.01275 3.24771e-05 2.86549e-05 0.1003411429
-0.00425 -0.00325 -0.01275 3.24761e-05 2.48337e-05 0.1003400975
-0.00425 -0.00275 -0.01275 3.24757e-05 2.10121e-05 0.1003392015
-0.00425 -0.00225 -0.01275 3.24751e-05 1.71913e-05 0.1003384548
-0.00425 -0.00175 -0.01275 3.24742e-05 1.33712e-05 0.1003378575
-0.00425 -0.00125 -0.01275 3.24744e-05 9.55053e-06 0.1003374095
-0.00425 -0.00075 -0.01275 3.24739e-05 5.72966e-06 0.1003371108
-0.00425 -0.00025 -0.01275 3.24737e-05 1.90964e-06 0.1003369615
-0.00425 0.00025 -0.01275 3.24741e-05 -1.9086e-06 0.1003369615
-0.00425 0.00075 -0.01275 3.24737e-05 -5.72968e-06 0.1003371108
