###############################################
# file created at: Fri Sep  3 17:09:40 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# gap = 0.013
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.5
# gap = 0.3
# winding = 1
# current = 4e+07
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.01275 -0.00245 1.54e-05 0.0976840545321
-0.00675 -0.00125 -0.01275 -0.00245 1.54e-05 0.0976837236377
-0.00675 -0.00075 -0.01275 -0.00245 1.54e-05 0.0976831078142
-0.00675 -0.00025 -0.01275 -0.00245 1.54e-05 0.0976822070729
-0.00675 0.00025 -0.01275 -0.00245 1.54e-05 0.0976810214309
-0.00675 0.00075 -0.01275 -0.00245 1.54e-05 0.0976795509091
-0.00675 0.00125 -0.01275 -0.00245 1.54e-05 0.0976777955324
-0.00675 0.00175 -0.01275 -0.00245 1.54e-05 0.0976757553299
-0.00625 -0.00275 -0.01275 -0.00246 1.55e-05 0.0978765437068
-0.00625 -0.00225 -0.01275 -0.00246 1.55e-05 0.0978767830383
-0.00625 -0.00175 -0.01275 -0.00246 1.55e-05 0.0978767363017
-0.00625 -0.00125 -0.01275 -0.00246 1.55e-05 0.0978764035014
-0.00625 -0.00075 -0.01275 -0.00246 1.55e-05 0.0978757846465
-0.00625 -0.00025 -0.01275 -0.00246 1.55e-05 0.0978748797483
-0.00625 0.00025 -0.01275 -0.00246 1.55e-05 0.0978736888242
-0.00625 0.00075 -0.01275 -0.00246 1.55e-05 0.097872211895
-0.00625 0.00125 -0.01275 -0.00246 1.55e-05 0.097870448986
-0.00625 0.00175 -0.01275 -0.00246 1.55e-05 0.0978684001264
-0.00625 0.00225 -0.01275 -0.00246 1.55e-05 0.0978660653496
-0.00625 0.00275 -0.01275 -0.00246 1.55e-05 0.0978634446935
-0.00575 -0.00375 -0.01275 -0.00247 1.55e-05 0.0980684552612
-0.00575 -0.00325 -0.01275 -0.00247 1.55e-05 0.098069269332
-0.00575 -0.00275 -0.01275 -0.00247 1.55e-05 0.0980697962077
-0.00575 -0.00225 -0.01275 -0.00247 1.55e-05 0.0980700358843
-0.00575 -0.00175 -0.01275 -0.00247 1.55e-05 0.0980699883617
-0.00575 -0.00125 -0.01275 -0.00247 1.55e-05 0.0980696536442
-0.00575 -0.00075 -0.01275 -0.00247 1.55e-05 0.0980690317411
-0.00575 -0.00025 -0.01275 -0.00247 1.55e-05 0.0980681226638
-0.00575 0.00025 -0.01275 -0.00247 1.55e-05 0.0980669264296
-0.00575 0.00075 -0.01275 -0.00247 1.55e-05 0.0980654430597
-0.00575 0.00125 -0.01275 -0.00247 1.55e-05 0.0980636725794
-0.00575 0.00175 -0.01275 -0.00247 1.55e-05 0.098061615018
-0.00575 0.00225 -0.01275 -0.00247 1.55e-05 0.0980592704094
-0.00575 0.00275 -0.01275 -0.00247 1.55e-05 0.0980566387913
-0.00575 0.00325 -0.01275 -0.00247 1.55e-05 0.098053720206
-0.00575 0.00375 -0.01275 -0.00247 1.55e-05 0.0980505146996
-0.00525 -0.00425 -0.01275 -0.00247 1.56e-05 0.0982611710159
-0.00525 -0.00375 -0.01275 -0.00247 1.56e-05 0.0982622760285
-0.00525 -0.00325 -0.01275 -0.00247 1.56e-05 0.0982630927178
-0.00525 -0.00275 -0.01275 -0.00247 1.56e-05 0.0982636210753
-0.00525 -0.00225 -0.01275 -0.00247 1.56e-05 0.0982638610968
-0.00525 -0.00175 -0.01275 -0.00247 1.56e-05 0.0982638127825
-0.00525 -0.00125 -0.01275 -0.00247 1.56e-05 0.0982634761367
-0.00525 -0.00075 -0.01275 -0.00247 1.56e-05 0.0982628511685
-0.00525 -0.00025 -0.01275 -0.00247 1.56e-05 0.0982619378896
-0.00525 0.00025 -0.01275 -0.00247 1.56e-05 0.0982607363174
-0.00525 0.00075 -0.01275 -0.00247 1.56e-05 0.0982592464731
-0.00525 0.00125 -0.01275 -0.00247 1.56e-05 0.0982574683822
-0.00525 0.00175 -0.01275 -0.00247 1.56e-05 0.0982554020743
-0.00525 0.00225 -0.01275 -0.00247 1.56e-05 0.0982530475833
-0.00525 0.00275 -0.01275 -0.00247 1.56e-05 0.0982504049474
-0.00525 0.00325 -0.01275 -0.00247 1.56e-05 0.0982474742089
-0.00525 0.00375 -0.01275 -0.00247 1.56e-05 0.0982442554144
-0.00525 0.00425 -0.01275 -0.00247 1.56e-05 0.0982407486146
-0.00475 -0.00475 -0.01275 -0.00248 1.56e-05 0.0984541647472
-0.00475 -0.00425 -0.01275 -0.00248 1.56e-05 0.0984555629848
-0.00475 -0.00375 -0.01275 -0.00248 1.56e-05 0.0984566717693
-0.00475 -0.00325 -0.01275 -0.00248 1.56e-05 0.0984574910882
-0.00475 -0.00275 -0.01275 -0.00248 1.56e-05 0.098458020933
