###############################################
# file created at: Fri Sep  3 17:12:08 2021

# Cylinder map info
# center = (0, 0, 0)
# radius = 0.007
# gap = 0.013
# cubelen = 0.0005
# xy num = 616
# z num = 52
# cirnum*heinum = 32032

# Z0 coil info
# center = (0, 0, 0)
# radius = 0.5
# gap = 0.3
# winding = 1
# current = 40000
###############################################

# x	y	z	Bx	By	Bz
-0.00675 -0.00175 -0.01275 5.16e-05 1.34e-05 0.100346072372
-0.00675 -0.00125 -0.01275 5.16e-05 9.55e-06 0.100345624289
-0.00675 -0.00075 -0.01275 5.16e-05 5.73e-06 0.10034532557
-0.00675 -0.00025 -0.01275 5.16e-05 1.91e-06 0.100345176211
-0.00675 0.00025 -0.01275 5.16e-05 -1.91e-06 0.100345176212
-0.00675 0.00075 -0.01275 5.16e-05 -5.73e-06 0.100345325571
-0.00675 0.00125 -0.01275 5.16e-05 -9.55e-06 0.100345624291
-0.00675 0.00175 -0.01275 5.16e-05 -1.34e-05 0.100346072376
-0.00625 -0.00275 -0.01275 4.78e-05 2.1e-05 0.100345474767
-0.00625 -0.00225 -0.01275 4.78e-05 1.72e-05 0.100344727975
-0.00625 -0.00175 -0.01275 4.78e-05 1.34e-05 0.100344130552
-0.00625 -0.00125 -0.01275 4.78e-05 9.55e-06 0.100343682491
-0.00625 -0.00075 -0.01275 4.78e-05 5.73e-06 0.100343383786
-0.00625 -0.00025 -0.01275 4.78e-05 1.91e-06 0.100343234435
-0.00625 0.00025 -0.01275 4.78e-05 -1.91e-06 0.100343234435
-0.00625 0.00075 -0.01275 4.78e-05 -5.73e-06 0.100343383788
-0.00625 0.00125 -0.01275 4.78e-05 -9.55e-06 0.100343682493
-0.00625 0.00175 -0.01275 4.78e-05 -1.34e-05 0.100344130556
-0.00625 0.00225 -0.01275 4.78e-05 -1.72e-05 0.100344727981
-0.00625 0.00275 -0.01275 4.78e-05 -2.1e-05 0.100345474774
-0.00575 -0.00375 -0.01275 4.39e-05 2.87e-05 0.100345623966
-0.00575 -0.00325 -0.01275 4.39e-05 2.48e-05 0.100344578457
-0.00575 -0.00275 -0.01275 4.39e-05 2.1e-05 0.100343682329
-0.00575 -0.00225 -0.01275 4.39e-05 1.72e-05 0.10034293557
-0.00575 -0.00175 -0.01275 4.39e-05 1.34e-05 0.100342338173
-0.00575 -0.00125 -0.01275 4.39e-05 9.55e-06 0.100341890132
-0.00575 -0.00075 -0.01275 4.39e-05 5.73e-06 0.10034159144
-0.00575 -0.00025 -0.01275 4.39e-05 1.91e-06 0.100341442096
-0.00575 0.00025 -0.01275 4.39e-05 -1.91e-06 0.100341442096
-0.00575 0.00075 -0.01275 4.39e-05 -5.73e-06 0.100341591442
-0.00575 0.00125 -0.01275 4.39e-05 -9.55e-06 0.100341890135
-0.00575 0.00175 -0.01275 4.39e-05 -1.34e-05 0.100342338177
-0.00575 0.00225 -0.01275 4.39e-05 -1.72e-05 0.100342935575
-0.00575 0.00275 -0.01275 4.39e-05 -2.1e-05 0.100343682335
-0.00575 0.00325 -0.01275 4.39e-05 -2.48e-05 0.100344578465
-0.00575 0.00375 -0.01275 4.39e-05 -2.87e-05 0.100345623975
-0.00525 -0.00425 -0.01275 4.01e-05 3.25e-05 0.100345175727
-0.00525 -0.00375 -0.01275 4.01e-05 2.87e-05 0.100343980876
-0.00525 -0.00325 -0.01275 4.01e-05 2.48e-05 0.100342935409
-0.00525 -0.00275 -0.01275 4.01e-05 2.1e-05 0.100342039317
-0.00525 -0.00225 -0.01275 4.01e-05 1.72e-05 0.100341292589
